feature_id	display_label	log2_fold_change	raw_p_value	BH_FDR	nominal_discovery	FDR_significant	direction	biologically_prioritized	experimentally_evaluated	candidate_highlight	candidate_highlight_reason	threshold_interpretation
hsa-miR-2116-5p	hsa-miR-2116-5p	0.037330159872782	0.902047201943192	0.972857097713563	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6892-5p	hsa-miR-6892-5p	-0.888109123896482	0.18388596448028	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-877-5p	hsa-miR-877-5p	0.904738822204318	0.253033058366142	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-376a-5p	hsa-miR-376a-5p	0.320454080173153	0.0528314046223048	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-6824-5p	hsa-miR-6824-5p	0.332810802940831	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-485-3p	hsa-miR-485-3p	0.1101722432645	0.77114142214226	0.945853361261006	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-145-5p	hsa-miR-145-5p	0.772089492725801	0.0417524595141602	0.753091701676768	TRUE	FALSE	up	FALSE	FALSE	FALSE		nominal P < 0.05 exploratory miRNA screen
hsa-miR-642a-5p	hsa-miR-642a-5p	-0.909258042000359	0.100452025071069	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-203a-3p	hsa-miR-203a-3p	0.328978381193449	0.730137742575514	0.928601883882091	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-887-3p	hsa-miR-887-3p	1.11107482609026	0.142107469368518	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-489-3p	hsa-miR-489-3p	-0.67164322191825	0.422649730810374	0.753091701676768	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-627-5p	hsa-miR-627-5p	-0.186435110654833	0.743541298351235	0.937236930694834	FALSE	FALSE	down	FALSE	FALSE	FALSE		not nominally significant
hsa-miR-548aw	hsa-miR-548aw	0.397122856885267	0.422649730810374	0.753091701676768	FALSE	FALSE	up	FALSE	FALSE	FALSE		not nominally significant
